#,Question,Answer ,Answer 0,Answer 1,Answer 2,Answer 3,Answer 4
,,,,,,,
1,"On the previous problem, when we analyzed an RC circuit with two capacitors, could we have set up the equation so that it represented a second order differentiall equation (and used the characteristic equation to solve)?",live answered,"Yes you could have, though we don't cover that exact method in this course. In lecture, we will show an alternative method which will actually prove why the characteristic equation method works.",,,,
,,,,,,,
2,Could you please enable so that students see all of the questions?,,,,,,
,,,,,,,
3,"what is coupling, de-coupling, and mutual coupling? I dont remember explicitly learning what these characteristics mean and how we know they exist so im confused","We haven’t really talked about coupling in this class, I’m not sure what your question is referring to.",Are you discussing RC coupling or capacitor coupling?,The professor just mentioned we had a few coupled differential equations so we had to do change of variables. I dont know if its RC or capacitor but I dont know either,oh! Coupled differential equations are just equations with multiple variables where teh derivatives depend on not just the variable but on other variable. So like the example in class last time. The variables are ‘coupled’,,
,,,,,,,
4,Why do we need a change of variables?,To get it back into the form of (1) that we know how to solve,,,,,
,,,,,,,
5,"Shouldn't the change of variables be x' = x-u/lambda? otherwise the u doesnt cancel, or am I missing something","Yes, I believe this was just a typo — conceptually, it’s a shift of the variable.",,,,,
,,,,,,,
6,"so for 2), u is a scalar constant and for 3), its a piecewise function?","Yes. If u was not a constant in 2, then the change of variables would not work.",,,,,
,,,,,,,
7,"I am a little confused about this particular concept -- if we are trying to prove that two functions are equal, and we take their difference to form a new equation, z(t), how does d/dt z(0) = 0 imply that d/dt z(t) = 0 for all t>=0?","You need to also include that the initial condition z(0) = 0. Then since the derivatve is 0, it means it will stay at 0 for all time.",This is also the same process as problem 2 on your HW,,,,
,,,,,,,
8,Why isn’t (i + 1)delta include for t is in the set of …?,"u((i+1)delta) will be a different value because that's where the ""jump"" in the piecewise constant function happens","We assume that each interval starts at the delta interval. So the next interval will be [(i+1)delta, (i+2)delta)",,,,
,,,,,,,
9,where’d we get t-idelta from?,"The time elapsed starts at the initial time, idelta",live answered,,,,
,,,,,,,
