#,Question,Answer ,Answer 0
1,When are review sessions?,I’ll do a 16A review session on Monday evening at 5 pm,5pm next Monday Feb 1: 16A review by Prof Ranade
2,Will they be recorded?,Yes
3,Can you label the PMOS and NMOS please?,"if there's a bubble on the gate, it is pmos. Else it is nmos"
4,"could you swap the pmos and nmos transistors in a not gate to make a simple buffer/""is""-gate?",live answered
5,where is Vthresh set?,it depends on device physics like properties of the silicon
6,how is the gate connected to the source/drain node?,prof answered this live
7,Is the logic gate model the same thing as the inverter model? Or do they just process signal the same way?,"here inverter is the logic gate. There are other logic gates like nand, nor, etc"
8,Why is VOut 0V at the end?,"there are 2 inverters cascaded. Vin = 0, so Vx = Vdd, so Vout = 0"
9,for this example is Vthresh somewhere between Vdd and 0 but it doesnt matter?,Vthresh is always between Vdd and 0 - refer to previous lectures
10,what does that circle mean in his drawing?,"pmos gate has the bubble, nmos gate does not"
11,how is 0 < -|v_thresh|? or is V_gsp different and if so what is it?,"For pmos, Vg = Vin, and Vs = Vdd. So Vgs = Vg - Vs = Vin - Vdd. When Vin = 0, Vgs = -Vdd < - |V_th|"
12,at the gate of the transistor
13,What is the difference between Vgs and Vin?,"Vin is input voltage, Vgs is gate-source voltage, here Vgs = Vin"
14,does the input voltage physically connnected to the rest of the transistor (in the diagram they appear separate) or can the transistor be separated into the 2 parts.,"Prof is explaining it now, but basically Vin is applied to gate"
15,Is Vgs = Vin usually the case?,"for the nmos, the source is at ground, so Vs = 0, and Vin is applied to gate, so Vg = Vin, so Vgs = Vg - Vs = Vin - 0 = Vin. It's different for pmos"
16,Why can we the pmos be on the bottom again? going off from Vgs would it be 0v-Vout?,That was in response to a question — in general it will not be on the bottom side.
17,why is the illegal pmos model illegal?,Prof is explaining right now
18,"So, just to clarify, the left model is NMOS and the right model is PMOS?",inverter has both pmos and nmos: pmos on top and nmos on bottom
19,"When the input is 0, why is V_in < - abs(V_th)?","For pmos, Vg = Vin, Vs = Vdd (since source is connected to Vdd), so Vgs = Vg - Vs = Vin - Vdd. When Vin = 0, Vgs = -Vdd < -abs(V_th)"
20,Is the first inverter a PMOS or NMOS?,inverter has both pmos and nmos: pmos on top and nmos on bottom. Prof is explaining why it cannot be the other way
21,Is this elaborated on in the notes?,mostly yes,Note 1 should have some relevant details
22,Why is there a switch in the second transistor?,transistor is always modeled as a switch in series with a resistor,The figure to a right is a model of the transistor using an R and C. The swtich (open or closed) depends on V_GS
23,Is there any case where you can connect transistors and more than one voltage fllows to the drain? if so how do you determine the actual output? do you sum the voltages going into the drain? I haven't encoutered this kind of situation but I suppose it occasionally happens.,it becomes a voltage divider with the R_on of all the transistors that are 'on'
24,"Just to clarify, when we say that Vgs >= Vthr, is Vdd the same as Vthr or is Vthr something else?","Vth is threshold voltage of a transistor. In last thursday's lecture, it was mentioned that 0 < Vth < Vdd"
25,"sorry, can someone give an overview of what the prof is explaining right now?","review of RC model of the transistors in the cascaded inverters, which is also in HW2"
26,is there a loading effect between the 2 inverters?,yes the second inverter loads the first one
27,Do we assume that no current flows from the gate to the source through the Cgn?,"Yes, in steady state, DC current cannot flow through capacitors."
28,in the first inverter wouldn,maybe you didn't complete the question? :)
