#,Question,Answer ,Answer 0,Answer 1,Answer 2,Answer 3,Answer 4,Answer 5,Answer 6,Answer 7,Answer 8,Answer 9,Answer 10
1,Can we have live closed captions?,"pinged an admin TA to do so, I don’t have access to the zoom meeting unfortunately :(",01/20/2022 15:42:11,01/20/2022 15:45:08
2,What does “dope” mean in this context?,add impurities to the semiconductor materials in order to change the electrochemical properties,01/20/2022 15:47:03,01/20/2022 15:48:05,"In particular, phosphorus, arsenic, antimony, bismuth are used to produce n-type semiconductors (adding electrons) and boron, indium are used for p-type (holes)",01/20/2022 15:47:03,01/20/2022 15:54:20
3,what does silicon do in the context of the mosfet again,silicon forms most of the semiconductor,01/20/2022 15:47:35,01/20/2022 15:49:20
4,Professor can you make your drawing bigger?,,01/20/2022 15:47:58
5,What does Poly S mean,polysilicon,01/20/2022 15:48:32,01/20/2022 15:48:47
6,does this act more like a gate or like a resistor?,gate,01/20/2022 15:49:28,01/20/2022 15:52:39
7,What are the half-circles at the source and drain physically?,I think they're metal contact patches.,01/20/2022 15:49:30,01/20/2022 15:50:13
8,Why do electrons get attracted between the source and the drain?,High to low.,01/20/2022 15:50:05,01/20/2022 15:50:34,I think because of the positive charges in the poly s.,01/20/2022 15:50:05,01/20/2022 15:50:43,live answered,01/20/2022 15:50:05,01/20/2022 15:51:10
9,What was the little analogy he made about the bridge between S and D?,"not sure which bridge analogy was used at this point, sorry :( probably something about the gate facilitating source-drain connection when the voltages are right and being like a drawbridge when they’re not?",01/20/2022 15:50:32,01/20/2022 16:45:50
10,Would pmos be created with a positive source and negative gate?,live answered,01/20/2022 15:50:57,01/20/2022 15:54:58
11,What are some example use cases for PMOS or NMOS in industry?,"transistors (including NMOS and PMOS) make up circuitry for virtually all electronics, including whatever you’re using to type this now :)",01/20/2022 15:51:06,01/20/2022 15:52:32
12,Does the oxide act as an insulator in this case?,live answered,01/20/2022 15:51:11,01/20/2022 15:51:25
13,What is in between the poly s and electron layer?,oxide,01/20/2022 15:51:16,01/20/2022 15:56:50
14,Is the red region tilted on purpose?,live answered,01/20/2022 15:51:17,01/20/2022 15:55:24
15,where does the + charge on the G come from?,something we apply,01/20/2022 15:51:26,01/20/2022 16:44:48
16,NMOS is in p-type substrate and PMOS is in n-type?,yes,01/20/2022 15:51:54,01/20/2022 16:48:43
17,So does that mean the gate acts as a capacitor,yes,01/20/2022 15:51:57,01/20/2022 16:49:01
18,"just to clarify, the electrons (in red) come from the source pocket?",yes,01/20/2022 15:52:54,01/20/2022 15:53:34
