#,Question,Answer ,Answer 0,Answer 1,Answer 2
1,could you explain the line from the initial to the x axis intercept labelled tau again,That indicates the slope of the voltage waveforme at t=0,01/25/2022 15:47:20,01/25/2022 15:48:37,
1,could you explain the line from the initial to the x axis intercept labelled tau again,so thats the gradient of the tangent to the curve at t=0 right,01/25/2022 15:47:20,01/25/2022 15:49:58,
2,Could you explain the symbols in the Tau equation?,i cant read it either,01/25/2022 15:47:38,01/25/2022 15:48:57,
2,Could you explain the symbols in the Tau equation?,tau is the RC time constant; tau = RC,01/25/2022 15:47:38,01/25/2022 15:49:22,
2,Could you explain the symbols in the Tau equation?,"Ron,n1 is on resostance of the NMOS device of the first inverter, CGn is the input cap of the NMOS and PMOS of the second inverter",01/25/2022 15:47:38,01/25/2022 15:50:44,
3,So computers have been getting faster exponentially because the transistors have been getting smaller exponentially?,Correct!,01/25/2022 15:50:19,01/25/2022 15:50:59,
4,How is it that making a transistor smaller indicates a smaller time constant?,Smaller transistor means lower capacitance => lower time constant,01/25/2022 15:51:28,01/25/2022 15:52:08,
5,The Vin is like a switch right? We can change the input from 0V to Vdd instantenously?,"Correct, for this specific case",01/25/2022 15:51:43,01/25/2022 15:52:41,
6,"when we’re going back up from 0 to Vdd, does the output scale UPWARDS exponentially as well?","What do you mean by ""output scale UPWARDS""?",01/25/2022 15:52:39,01/25/2022 15:54:16,
7,"So essentially since the circuit breaks from voltage between 0 and VDD, we use capacitors to ensure that when Vx inputs into Inv2 that its either 0V or VDD?","Yes just beaware that parasitic capacitances are already there associated with the transistors, we don't put it from outside.",01/25/2022 15:54:44,01/25/2022 16:01:12,
7,"So essentially since the circuit breaks from voltage between 0 and VDD, we use capacitors to ensure that when Vx inputs into Inv2 that its either 0V or VDD?",What do you mean by “parasitic capacitances”?,01/25/2022 15:54:44,01/25/2022 16:05:49,
8,"Why would a smaller transistor make it faster? I understand that R might become smaller, but doesn’t C become bigger?",Smaller transistor means smaller C,01/25/2022 15:55:07,01/25/2022 15:56:13,
9,What is the purpuse of the 2 capacitors (Cp Cn) in the first CMOS?,Those are paracitic capacitances,01/25/2022 15:56:11,01/25/2022 15:57:11,
10,are we going to be able to blackbox inverters later on or will we need to draw out the who transistor each time?,It depends on the problem,01/25/2022 15:56:36,01/25/2022 15:57:48,
11,"In the last lecture, the professor had a section about inqueness after solving what dVx/dt equals. What was he trying to prove in that section? That the format Ae^bt is unique?",Correct,01/25/2022 15:56:42,01/25/2022 15:58:15,
12,"professor already answered. meant as input goes from 0 to Vdd, how does the output scale. answer was exponentially upwards.",meant this to respond to your comment to my question,01/25/2022 15:57:18,01/25/2022 15:57:33,
12,"professor already answered. meant as input goes from 0 to Vdd, how does the output scale. answer was exponentially upwards.",disregard,01/25/2022 15:57:18,01/25/2022 15:57:37,
13,what’s the difference between the two RC models?,The current one is more detailed,01/25/2022 15:58:00,01/25/2022 15:59:56,
14,Is there any discharge from Cp1 and Ggn1 once Vin swiches from Vdd to 0? If yes which way the current moves?,Cgp1 and Cgn1,01/25/2022 16:00:24,01/25/2022 16:04:27,
14,Is there any discharge from Cp1 and Ggn1 once Vin swiches from Vdd to 0? If yes which way the current moves?,No,01/25/2022 16:00:24,01/25/2022 16:21:16,
15,But the professor said something about needing to know initial condition in order to prove uniqueness. Could you elaborate?,,01/25/2022 16:00:49,,
16,wait what does it mean for t to be less than 0? (t < 0),Think it in a mathematical way (x<0 in an X-Y plot),01/25/2022 16:01:30,01/25/2022 16:02:59,
17,Why do only the middle 4 components of the ciruit matter?,because the rest are isolated by open circuits.,01/25/2022 16:02:07,01/25/2022 16:02:52,
17,Why do only the middle 4 components of the ciruit matter?,You do have charging/discharging going on only over there at the time of interest,01/25/2022 16:02:07,01/25/2022 16:04:18,
18,Cgn1 is at Vdd right?,When the input is Vdd,01/25/2022 16:02:54,01/25/2022 16:03:58,
18,Cgn1 is at Vdd right?,"Yes, before t<0",01/25/2022 16:02:54,01/25/2022 16:05:20,
19,do we ignore the Caps for P1 and N1?,CGn1 and CGp1 doesn't play role in charging/discharging,01/25/2022 16:05:20,01/25/2022 16:06:59,
19,do we ignore the Caps for P1 and N1?,why don’t CGn1 and CGp1 play role in this situation?,01/25/2022 16:05:20,01/25/2022 16:07:53,
20,"Are the capacitors theoretical in this circuit? I recall that the resistors are theoretical due to the resistance in real life, but I am not entirely sure about the capacitors",,01/25/2022 16:05:33,,
